TOP GAUGE

CLIENT				: Company A.
SERVICE COMPANY			: Best Service Company.
SURVEY DATE			: 2ND - 4TH JANUARY, 2022.
WELL NAME			: Well A
JOB TYPE			: FLOWING GRADIENT / 9-HOUR PRESSURE BUILD UP/ STATIC GRADIENT SURVEY
GAUGE TYPE/SERIAL NO		: ##
GAUGE DEPTH			: 8977FT WLM
GAUGE STOP TIME/DATE		: 03:06:33 /4TH-JANUARY-2022.

SPECIALIST			: Bob Joe


REAL DATE  REAL TIME	   ELAPSED TIME	  PRESSURE	TEMPERATURE
mm-dd-yy   hh:mm:ss	     (Hours)	   (psiA)	  (deg F)

01/02/22  20:14:41          .60083        217.184        102.977
01/02/22  20:14:46          .60222        217.218        102.978
01/02/22  20:14:51          .60361        217.249        102.961
01/02/22  20:14:56          .60500        217.296        102.930
01/02/22  20:15:01          .60639        217.341        102.884
01/02/22  20:15:06          .60778        217.384        102.826
01/02/22  20:15:11          .60917        217.459        102.755
01/02/22  20:15:16          .61056        217.550        102.675
01/02/22  20:15:21          .61194        217.657        102.588
01/02/22  20:15:26          .61333        217.796        102.493
01/02/22  20:15:31          .61472        217.935        102.394
01/02/22  20:15:36          .61611        218.090        102.288
01/02/22  20:15:41          .61750        218.245        102.181
01/02/22  20:15:46          .61889        218.383        102.072
01/02/22  20:15:51          .62028        218.453        101.963
01/02/22  20:15:56          .62167        218.455        101.854
01/02/22  20:16:01          .62306        218.474        101.745
01/02/22  20:16:06          .62444        218.494        101.640
01/02/22  20:16:11          .62583        218.497        101.537
01/02/22  20:16:16          .62722        218.500        101.437
01/02/22  20:16:21          .62861        218.487        101.339
01/02/22  20:16:26          .63000        218.457        101.244
01/02/22  20:16:31          .63139        218.479        101.152
01/02/22  20:16:36          .63278        218.484        101.064
01/02/22  20:16:41          .63417        218.472        100.978
01/02/22  20:16:46          .63556        218.461        100.894
01/02/22  20:16:51          .63694        218.450        100.812
01/02/22  20:16:56          .63833        218.456        100.734
01/02/22  20:17:01          .63972        218.446        100.657
01/02/22  20:17:06          .64111        218.436        100.582
01/02/22  20:17:11          .64250        218.460        100.510
01/02/22  20:17:16          .64389        218.450        100.440
01/02/22  20:17:21          .64528        218.424        100.371
01/02/22  20:17:26          .64667        218.398        100.304
01/02/22  20:17:31          .64806        218.423        100.238
01/02/22  20:17:36          .64944        218.432        100.174
01/02/22  20:17:41          .65083        218.406        100.111
01/02/22  20:17:46          .65222        218.432        100.050
01/02/22  20:17:51          .65361        218.407         99.990
01/02/22  20:17:56          .65500        218.433         99.931
01/02/22  20:18:01          .65639        218.442         99.872
01/02/22  20:18:06          .65778        218.417         99.815
01/02/22  20:18:11          .65917        218.410         99.758
01/02/22  20:18:16          .66056        218.402         99.702
01/02/22  20:18:21          .66194        218.378         99.646
01/02/22  20:18:26          .66333        218.387         99.593
01/02/22  20:18:31          .66472        218.397         99.539
01/02/22  20:18:36          .66611        218.373         99.486
01/02/22  20:18:41          .66750        218.366         99.434
01/02/22  20:18:46          .66889        218.376         99.381
01/02/22  20:18:51          .67028        218.386         99.330
01/02/22  20:18:56          .67167        218.379         99.278
01/02/22  20:19:01          .67306        218.389         99.228
01/02/22  20:19:06          .67444        218.399         99.178
01/02/22  20:19:11          .67583        218.409         99.127
01/02/22  20:19:16          .67722        218.403         99.078
01/02/22  20:19:21          .67861        218.396         99.030
01/02/22  20:19:26          .68000        218.373         98.981
01/02/22  20:19:31          .68139        218.367         98.933
01/02/22  20:19:36          .68278        218.360         98.885
01/02/22  20:19:41          .68417        218.371         98.836
01/02/22  20:19:46          .68556        218.381         98.790
01/02/22  20:19:51          .68694        218.375         98.743
01/02/22  20:19:56          .68833        218.386         98.696
01/02/22  20:20:01          .68972        218.379         98.650
01/02/22  20:20:06          .69111        218.356         98.603
01/02/22  20:20:11          .69250        218.367         98.558
01/02/22  20:20:16          .69389        218.378         98.513
01/02/22  20:20:21          .69528        218.372         98.467
01/02/22  20:20:26          .69667        218.366         98.422
01/02/22  20:20:31          .69806        218.377         98.377
01/02/22  20:20:36          .69944        218.371         98.332
01/02/22  20:20:41          .70083        218.365         98.289
01/02/22  20:20:46          .70222        218.376         98.245
01/02/22  20:20:51          .70361        218.387         98.201
01/02/22  20:20:56          .70500        218.381         98.158
01/02/22  20:21:01          .70639        218.375         98.114
01/02/22  20:21:06          .70778        218.386         98.071
01/02/22  20:21:11          .70917        218.381         98.029
01/02/22  20:21:16          .71056        218.375         97.987
01/02/22  20:21:21          .71194        218.386         97.944
01/02/22  20:21:26          .71333        218.381         97.902
01/02/22  20:21:31          .71472        218.358         97.861
01/02/22  20:21:36          .71611        218.370         97.818
01/02/22  20:21:41          .71750        218.381         97.777
01/02/22  20:21:46          .71889        218.392         97.736
01/02/22  20:21:51          .72028        218.370         97.695
01/02/22  20:21:56          .72167        218.365         97.655
01/02/22  20:22:01          .72306        218.376         97.614
01/02/22  20:22:06          .72444        218.371         97.573
01/02/22  20:22:11          .72583        218.365         97.533
01/02/22  20:22:16          .72722        218.360         97.493
01/02/22  20:22:21          .72861        218.355         97.453
01/02/22  20:22:26          .73000        218.383         97.414
01/02/22  20:22:31          .73139        218.395         97.374
01/02/22  20:22:36          .73278        218.389         97.334
01/02/22  20:22:41          .73417        218.418         97.295
01/02/22  20:22:46          .73556        218.413         97.257
01/02/22  20:22:51          .73694        218.408         97.218
01/02/22  20:22:56          .73833        218.402         97.179
01/02/22  20:23:01          .73972        218.397         97.141
01/02/22  20:23:06          .74111        218.392         97.102
01/02/22  20:23:11          .74250        218.387         97.065
01/02/22  20:23:16          .74389        218.366         97.028
01/02/22  20:23:21          .74528        218.377         96.990
01/02/22  20:23:26          .74667        218.372         96.952
01/02/22  20:23:31          .74806        218.384         96.916
01/02/22  20:23:36          .74944        218.396         96.879
01/02/22  20:23:41          .75083        218.391         96.842
01/02/22  20:23:46          .75222        218.403         96.805
01/02/22  20:23:51          .75361        218.415         96.769
01/02/22  20:23:56          .75500        218.410         96.733
01/02/22  20:24:01          .75639        218.406         96.697
01/02/22  20:24:06          .75778        218.418         96.662
01/02/22  20:24:11          .75917        218.447         96.625
01/02/22  20:24:16          .76056        218.442         96.590
01/02/22  20:24:21          .76194        218.420         96.554
01/02/22  20:24:26          .76333        218.399         96.519
01/02/22  20:24:31          .76472        218.361         96.483
01/02/22  20:24:36          .76611        219.052         96.499
01/02/22  20:24:41          .76750        218.832         96.872
01/02/22  20:24:46          .76889        218.882         97.749
01/02/22  20:24:51          .77028        219.040         99.049
01/02/22  20:24:56          .77167        219.104        100.652
01/02/22  20:25:01          .77306        219.180        102.459
01/02/22  20:25:06          .77444        219.124        104.415
01/02/22  20:25:11          .77583        218.998        106.468
01/02/22  20:25:16          .77722        218.877        108.571
01/02/22  20:25:21          .77861        218.708        110.697
01/02/22  20:25:26          .78000        218.587        112.808
01/02/22  20:25:31          .78139        218.444        114.890
01/02/22  20:25:36          .78278        218.346        116.930
01/02/22  20:25:41          .78417        218.204        118.911
01/02/22  20:25:46          .78556        218.226        120.830
01/02/22  20:25:51          .78694        218.341        122.678
